SMILES,P1,P2,P3,P4
FCC(CF)C=O,0.7009,0.37898,-2.03242813546,4.2707
FC1=CC2OC2C1,1.9139,0.39844,-2.02837074645,6.5504
CCCC(C)(F)F,2.1560,0.51236,-2.5867879691,9.6147
NCCOC(N)=N,4.7414,0.40155,-2.35716522589,7.1240
NC(=N)CC#N,2.7252,0.40464,-1.77479827365,6.5205
NC(=O)C#CC=C,3.9829,0.3375,-2.07156645845,4.6945
OC1COCC1F,1.7455,0.43525,-2.17591556307,7.7925
FC1C=CCC1=C,2.1764,0.39858,-2.35355362667,6.4661
FCC(=N)NC=O,4.5540,0.3801,-1.90181099305,4.9708
NCC(O)C=C,3.0992,0.41598,-2.25698650909,6.7793
CC=C(C)C(O)=O,2.3885,0.36765,-2.45470171748,5.2810
CC(C)(C)C=CF,1.7971,0.4214,-2.78898429051,7.4911
CCCCC(F)F,2.3943,0.51305,-2.5779703881,9.5355
CN1CC1C=C,1.2253,0.3956,-2.31353293789,6.3531
FC1CC1NC=N,4.3891,0.40672,-2.15877311227,6.4118
CCC#CC(N)=O,4.2263,0.37563,-2.30462018587,5.1057
COCC(C)CN,1.1375,0.42799,-2.94096862513,6.7340
CC(C)(O)C(N)=N,3.1000,0.40355,-2.5631685353,6.3569
CC1COCC1N,2.4836,0.42476,-2.74281094671,6.7677
OC1CC2CC2C1,1.4135,0.4557,-2.7182996227,7.4784
FC(F)C(F)(F)F,1.4998,0.57127,-1.22528791961,10.5613
FC1C2CCC1N2,3.1441,0.4321,-2.35318749168,7.1371
NC1C(O)C1O,0.4627,0.4077,-1.93027743987,6.7004
CCOC(=C)CO,2.5366,0.40972,-2.6135245089,7.0839
OCC#CC=O,4.0546,0.36212,-1.67568737544,3.9976
Cc1cnccn1,0.6069,0.34033,-2.23853456726,4.1366
Nc1cocn1,1.6909,0.35371,-1.66532927084,5.6203
CCn1nccn1,0.6518,0.39442,-2.22722842927,6.5174
COC(C)=O,1.9306,0.43655,-1.72791682566,6.0103
CC#CC(=O)C#N,5.3513,0.34068,-1.83518195703,3.8754
CCC(F)C=NO,1.8811,0.40319,-2.24563548188,6.0055
CC(=C)NC(C)=O,2.9431,0.3651,-2.55476348429,5.5171
FC(F)C(F)C=O,1.3257,0.37749,-1.58333905563,4.2514
NC(=N)C(F)C#C,2.5827,0.38503,-1.92124803985,6.1138
CC#CC=C(F)F,1.4661,0.36111,-1.86513952784,5.8705
CC(=C)CN1CC1,0.8501,0.40572,-2.78710113451,6.7539
O=CC(=O)C1CO1,1.7530,0.29717,-1.85971383084,2.7386
C1CC2N=CNC12,2.9319,0.38088,-2.41501051568,6.1907
OCC=CCF,2.0339,0.42034,-1.99956092667,7.4121
CCOCC=CF,2.6392,0.42258,-2.45997261229,7.4797
CC(=O)C(=O)C#N,4.0682,0.29887,-1.79113051623,2.8116
FC(F)F,1.5768,0.6236,-0.72658668041,12.1566
COC(C)C1CO1,1.8086,0.4539,-2.5892281459,7.8518
ON=C1CCCN1,2.0708,0.37391,-2.30326716688,6.3191
CNC(=O)C(F)F,3.1132,0.40327,-1.87038346705,5.6499
CCCN=CNC,2.2705,0.38717,-2.85180170152,6.0896
CON=CN(C)N,0.6791,0.35558,-2.25112070389,5.8954
CCC(N)C(C)O,3.1170,0.42647,-2.96636089713,7.0670
NNC(=O)C(F)=C,1.0656,0.36824,-1.86614504505,5.0763
ON=C(CF)C#C,1.4676,0.35496,-1.75385038004,5.4877
CC(=O)NCC#C,3.4756,0.41152,-2.29288581387,5.8655
CC1CONC1=O,2.7272,0.37316,-2.19958537107,5.4828
CC1CC(=O)N1,4.2325,0.40947,-2.08327980267,6.0305
FCC=COC=O,3.2980,0.37799,-1.96574360665,5.8353
C=C1OCCC1=O,2.6817,0.32402,-2.20816347106,3.8882
CC(O)(C#N)C#N,4.7067,0.45215,-1.88843687304,7.3201
CCC(C)C=O,2.9460,0.37696,-2.4822922985,4.2969
COC=C(C)C#C,2.1248,0.34723,-2.44146144728,5.5345
NN=CN(O)C=O,3.2409,0.33205,-1.75856479125,5.1145
FCCCC1CC1,2.0439,0.47871,-2.77828462051,8.5941
FCC1COC=C1,1.1931,0.38989,-2.26157630787,6.3327
NC(=O)NNC=N,4.5025,0.40381,-1.95079129106,6.4427
Fc1c[nH]cn1,4.8499,0.39071,-1.52862880223,6.4451
NN=CCF,2.1142,0.37094,-1.42815956345,5.9304
CC(C)=CC(C)=C,0.8764,0.34575,-3.01865427092,5.6760
CCC#CC=C,0.6421,0.35942,-2.29812747788,5.4103
NC1(CC1)C(F)F,2.6053,0.43567,-2.13469502727,7.0643
C#CC1OC1C#N,3.8233,0.4165,-1.79415832603,6.2652
NN=CCCF,1.4978,0.37242,-1.89919788107,5.9940
NC(=N)C1CC1O,3.9698,0.40221,-2.31866908988,6.5793
CC1CNC(=N)O1,4.9493,0.41122,-2.35291392888,6.7041
CCNC1CC1,0.9297,0.42024,-2.55570006931,6.8403
CCC#CC(N)=N,3.6333,0.36428,-2.39292490968,5.4176
CC1(F)CC1N,1.2084,0.4157,-2.10854914248,6.7330
Nc1n[nH]oc1=O,3.2765,0.32047,-1.58835683083,4.9951
Cc1cocc1O,0.8418,0.37774,-2.20854845106,6.1486
CCC1OC1C#N,4.4743,0.45044,-2.28833924087,7.1822
NCC#CCF,1.8345,0.42156,-1.85729661406,6.3023
FCC=CC#N,3.6701,0.3789,-1.68891741564,6.3192
CC1(C)CON=C1,3.7524,0.39118,-2.48875248229,6.1196
N=CNCCC#C,2.0086,0.39802,-2.37788437868,6.4059
OCC1CNN=C1,3.7529,0.36654,-2.30163381288,5.7521
CN1CCC1CF,2.0965,0.41857,-2.5693880081,6.9638
CN(C=O)N=C,3.6861,0.3693,-1.84616587526,5.5477
ON=CC#C,0.1734,0.35285,-1.27418921663,5.4112
CCNCC(F)F,2.2051,0.42882,-2.36469851669,6.9958
NC(CF)C(O)=O,2.1742,0.40515,-2.01535111766,5.7816
CN(C)N(C)C=N,4.4311,0.3896,-2.60559687911,6.3837
CCC(=C)CCO,2.0680,0.41412,-2.93161783812,7.0809
CCCC=CC=C,0.6734,0.35068,-3.01684160292,5.8438
OCC(=C)C1CN1,3.1620,0.38996,-2.47579710029,6.4143
CC1CC1(C)N,1.2807,0.40536,-2.56488277231,6.5006
COC(C)(C)CO,2.4076,0.45187,-2.83811465932,7.9667
CCCC(=C)C#C,0.5406,0.36767,-2.7625060085,5.6943
NC1CC2CC1N2,2.5345,0.42039,-2.6115720181,6.9205
CCC(C)(C)CC,0.0355,0.48467,-3.47620852476,9.0164
CC1NC(=O)C1C,4.1184,0.40316,-2.55477174629,5.9366
CCC(=O)C#CC,3.8062,0.36028,-2.48029270628,4.0935
C1COC=NN1,2.5198,0.38059,-1.83663131826,6.1497
OCC=NOC=O,2.2429,0.39573,-1.86909444085,5.7061
CON(C)C(N)=O,3.6158,0.41093,-2.21745908208,6.6637
CC(C)NC(C)=N,3.6714,0.40082,-2.86781150252,6.5515
Nn1cnoc1=O,4.3554,0.3971,-1.58841407683,6.7412
FCCCC#C,1.6787,0.45805,-2.06463241647,6.7200
CC1CCC(N)C1,1.2664,0.41897,-3.06593989193,6.7268
Cn1oncc1=O,2.0230,0.32693,-1.74795260524,4.9352
OC1C2NN=CC12,2.2407,0.35043,-2.06193452746,5.2765
CN(C)N=CC=C,2.1240,0.30967,-2.5834230411,5.0624
NN=C1C=CN=C1,4.0227,0.27503,-1.97031605785,3.5714
CC1(CC1)C(F)F,2.1943,0.49128,-2.33986123868,8.9397
OCCC#CCF,2.0972,0.43764,-2.21882089287,6.2099
COC=C(F)F,2.4352,0.4072,-1.53238700184,6.8542
CC(CF)C=NO,1.6932,0.40444,-2.24344569988,6.1288
Nc1ccnn1N,2.4791,0.37082,-2.01321040186,6.2137
CC=CC=NN,1.8877,0.32256,-2.13272878948,5.3519
ON=C(C=C)C=C,0.4140,0.32446,-2.23884946987,5.1534
Cc1n[nH]c(=O)o1,3.2804,0.39192,-1.85159397424,6.6540
OCC1CN1C=N,2.9541,0.41121,-2.28291843488,5.9368
CCOCCO,2.3593,0.46121,-2.3675464217,7.8373
NC(CF)C=NO,1.2044,0.38889,-2.03974573447,6.0974
CCNC(=O)C=O,2.3914,0.319,-2.25235603207,3.3998
CCCCCC=O,2.6667,0.38447,-2.95077895212,4.4140
OC(C#C)C#C,1.6255,0.42701,-1.70805539224,6.3353
CNC(=O)CCF,3.8920,0.41522,-2.32147472388,5.9313
CCC1(F)CC1,1.7844,0.47073,-2.31248427989,8.4900
CC12CC=CC1N2,1.6514,0.38286,-2.59701374209,5.9635
NN=CN(N)C=N,3.9960,0.34614,-1.98306094387,5.6134
Nc1nn[nH]c1O,3.2032,0.37384,-1.71410814764,5.9084
CNNC(=O)NC,4.4309,0.4229,-2.35412976289,7.0074
C=Cc1cnco1,1.6351,0.33341,-2.10456948445,5.2755
O=C1NC2CC2N1,4.3749,0.40915,-2.14371446146,6.7127
CC(O)C1CO1,1.5827,0.47164,-2.13770881928,8.0374
OCC(CO)CO,3.7613,0.43104,-2.5293268821,7.4886
CC=CCON=C,0.7134,0.38651,-2.45170982929,5.8297
CC#CCCC#C,0.9547,0.44125,-2.51443989308,6.6582
CCC#CCCN,1.3060,0.4266,-2.79260470651,6.6883
Nn1cccc1F,1.3487,0.38265,-1.94949088185,6.3465
C=COC1COC1,1.7208,0.39596,-2.36060975848,6.7711
CCC1NC1C=C,1.8828,0.39795,-2.79736378351,6.6051
CC(F)=C(F)CN,1.2448,0.40268,-2.13037435527,6.5547
OC=C1C=CC=N1,3.8854,0.3144,-2.09055816545,4.2715
CCC(C)N(C)C,0.5786,0.39133,-3.25337962135,6.3563
FC1CC(=O)C=C1,2.5321,0.34594,-2.07578211145,3.9404
C#CCN1CCC1,1.2483,0.40603,-2.53480622509,6.3905
C=C1COC=CO1,0.6650,0.36099,-2.17216163406,5.5513
Oc1cnoc1,2.9553,0.36629,-1.50369065903,5.8991
CCC1OCC1=O,1.0650,0.3734,-2.40364017348,4.3574
CN(O)C(=O)CN,3.6197,0.36569,-2.20562635908,6.0615
FC=C(C#C)C#C,0.9106,0.33787,-1.81784850083,5.4146
CCCOC=NO,1.2540,0.39882,-2.38394012249,6.8222
CC=C(C)C=CF,1.9729,0.34867,-2.56442235309,5.8810
CC1CC1CC#N,4.1154,0.46562,-2.61283468409,7.8430
CC(C)C(=O)NN,2.4450,0.40487,-2.5543677553,5.9207
CC(C)N(N)C=N,5.0630,0.38341,-2.62532240011,6.3694
C=C1COCC1=O,2.3547,0.32847,-2.19617547806,3.5962
CN(CCO)C=N,4.5759,0.38715,-2.5328178073,6.3964
CCC=CNC=N,3.3600,0.3549,-2.6302895161,5.7056
CC=C(F)CC=C,1.2667,0.39621,-2.56074171409,6.7337
CC1C=CC2NC12,1.7956,0.38132,-2.59176818209,5.9334
C=CN(C=O)N=C,1.3586,0.34286,-2.07679607046,4.8005
NC1C2CC=CC12,1.3876,0.39476,-2.59549504309,6.4182
OC(=O)C(=O)C=O,1.2963,0.28971,-1.60854991962,2.7486
CN(O)C(=O)C#N,3.6709,0.32848,-1.77060551324,5.5240
FC1CC(F)C1=O,2.8455,0.3426,-1.80161515904,3.7962
O=Cn1ccnn1,5.4338,0.35428,-1.69307194363,4.5900
NN=CCC(F)=C,2.8792,0.37346,-2.14189478627,6.0070
CC=C(C)C=NN,1.6882,0.32484,-2.6042662171,5.3677
CC1=CC(F)=CC1,2.3201,0.34799,-2.36603473067,5.1371
CC(F)CC1CO1,2.3272,0.47631,-2.46607128829,8.4408
CC1=CCN=CN1,3.2625,0.35504,-2.43115412268,4.9901
Oc1cnnn1O,4.3657,0.37974,-1.53545249183,6.0452
CCN(N)C=NC,1.5286,0.37517,-2.61893405311,6.1319
CN(C=C)C=O,2.7530,0.36938,-2.07142639467,5.6128
COC(=CC)C=O,3.0031,0.3341,-2.39997282448,3.9131
CCC(C)C=NN,1.7386,0.37369,-2.82609715352,6.0058
ONC(=O)C=CF,2.7603,0.36098,-1.72689022824,4.9022
CCCCC(N)=N,3.0016,0.40247,-2.87173729252,6.3502
NCC(=N)N1CC1,3.4745,0.40519,-2.40593382569,6.1627
FCC=CF,1.7543,0.42409,-1.39037188044,7.5552
CC=CC(N)=O,3.6317,0.36585,-2.09072363467,4.9660
CCCC(F)=CF,2.7601,0.41918,-2.33040884568,7.1187
CC(C)CF,1.8246,0.51068,-2.08296554469,9.5217
Cc1n[nH]nc1C,0.7379,0.38995,-2.23842691427,6.5517
CC(=C)C(F)CN,2.1371,0.40252,-2.5875247971,6.7015
C1CC1C2CN2,1.8404,0.43463,-2.31575001489,7.2109
OC(=O)C=CCF,0.8577,0.37956,-1.99222706365,5.1597
CC1CNC(=O)N1,4.5169,0.4325,-2.39024435488,6.8110
CC(N)C1(O)CC1,2.8909,0.41828,-2.72507078371,7.0790
NCCCCC#C,1.5341,0.4269,-2.78462181751,6.7279
CC1OC1C,1.9673,0.47466,-1.98611373988,8.7324
FC1CCC1(F)F,3.1124,0.49841,-1.88981097585,8.7179
CC=NN1CC1,0.5490,0.3749,-2.10252832648,4.9941
NC(N)=C(F)C=O,6.6341,0.31123,-1.88529732205,4.2712
CNCCNC=O,3.1044,0.37633,-2.5590050933,5.7522
CNN=CC(C)=O,4.5844,0.31362,-2.30785831188,3.9554
CC1(O)C(F)C1F,2.1597,0.44633,-1.99984866846,7.3986
On1ccnn1,2.9452,0.39524,-1.38157719343,6.2975
CC1=NCC=NN1,1.1027,0.36778,-2.21530774527,5.1655
Nn1cc(O)nn1,4.6884,0.36374,-1.67667440864,5.7950
CCC(N)C(C)F,1.8652,0.42583,-2.82234539652,6.9229
CONC(=O)C#C,3.7360,0.36386,-1.90551411765,4.9163
FCCCCC=O,1.9050,0.38368,-2.49466442429,4.4046
COC=CC#C,2.5232,0.34614,-1.96935518066,5.5020
CNn1ccnn1,3.6714,0.39356,-1.98053031986,5.7009
O=c1cnonc1,0.1722,0.31411,-1.50561288382,3.3562
NN=CC=CCO,2.5399,0.31856,-2.28431141488,5.2750
CC1CC2CC1O2,1.8484,0.44974,-2.7015768727,7.8203
CC(=CF)C=NO,0.8940,0.33691,-2.01618485446,5.5067
CCCCOCC,1.0508,0.4492,-3.14986042754,7.6466
Oc1cnco1,2.0060,0.37749,-1.54980672203,6.1832
CCCC1(C)CN1,1.7944,0.42753,-3.03035914193,7.2299
OCC1CC(=O)C1,3.7379,0.37218,-2.41165697148,4.3125
NCC1CN1N=C,1.4014,0.36278,-2.35977624069,4.6797
FC=COCC=O,0.8515,0.3452,-1.92882482765,4.3243
C#CC1CN1,1.3400,0.42386,-1.60140946685,6.2460
CC=NNCC=C,1.6039,0.36406,-2.5850259681,5.8496
NNC(=N)CCF,2.8464,0.40337,-2.17958856328,6.4797
CC#CC1CC1N,0.9466,0.40085,-2.55601767709,6.1532
C#CC#C,0.0000,0.39562,-1.10058919722,4.9267
CCC(NN)=NN,1.6136,0.36576,-2.4031198237,6.0052
CC1OC1C2CO2,0.3351,0.48239,-2.36176727548,8.1873
CCN(O)C=NO,1.6387,0.36384,-2.13355063308,5.9155
CNC1CCNC1,0.7666,0.38759,-2.84138937652,5.9908
CC1CN1NC=N,3.8919,0.38857,-2.37702689269,6.3386
NC1C2CNC1C2,2.3179,0.409,-2.6013655761,6.6654
CC1OC(C)C1N,1.9264,0.41912,-2.72636406871,6.7219
NN=C(CO)NO,2.5904,0.3678,-1.95164364867,5.8891
CCC(C)(N)C#C,1.4848,0.42562,-2.78686373251,6.6893
CN(O)C(=N)NO,4.0653,0.40432,-1.93721484967,6.4775
COC(C)C#N,3.3606,0.45537,-2.05006703967,7.5218
CCC(F)C=O,1.3461,0.37535,-2.02483055267,4.2164
CCN(C)C=NO,2.0986,0.36326,-2.4924766583,6.0638
N=CNC1COC1,3.0621,0.39513,-2.30092914888,6.3730
OC1CC1(F)F,3.4416,0.45995,-1.53811717184,7.7275
OCC(=O)C=CF,1.4941,0.33685,-1.95574858365,3.8186
CCCC(O)C=C,1.3573,0.41709,-2.92749741812,6.8601
COCOCCN,1.2616,0.43434,-2.62488108091,6.9044
COC(=C)C#CC,2.5236,0.34592,-2.44351889228,5.5526
CN1CCC1CO,2.2611,0.39985,-2.70978480271,6.7561
Cc1ccccn1,1.8715,0.37033,-2.44657255967,5.0302
NC1C(F)C1F,1.2947,0.42008,-1.63917331165,6.6467
CNCCC1CO1,1.0275,0.41847,-2.70082002771,6.5799
CC1C(C)C1O,1.5312,0.44536,-2.4530674765,7.4938
C#Cc1ncco1,1.5500,0.34669,-1.84355685803,5.4273
O=C(C#C)C1CN1,2.7224,0.34171,-2.02140138245,4.2002
FC1C=COC=C1,1.9365,0.3927,-2.05078936545,6.0337
C=CCCC1CC1,0.4438,0.42211,-3.00114324692,7.4621
OCC1NC1C#C,3.0983,0.42402,-2.22256044487,6.3715
CCC=CCO,2.0668,0.41173,-2.4595738775,6.9787
FC=CC(F)(F)F,1.1864,0.42585,-1.44694221102,7.7417
NC(=N)C(O)C#N,5.0416,0.40849,-1.92859304405,6.8453
CC(=O)C=C(N)N,5.8480,0.33037,-2.35398855988,4.3942
FC(C=C)C=O,1.4220,0.36205,-1.78760282025,4.2351
CC1=COCC1F,1.7246,0.38924,-2.27167957087,6.2344
NC(=N)CC(N)=O,1.6647,0.37788,-2.18695581447,5.8602
FCC(C=C)C=C,1.5632,0.40381,-2.54864362909,6.8918
c1cnon1,3.3437,0.41853,-1.12341912722,6.0207
CC(=O)C1CC1,2.9263,0.38653,-2.25749608808,4.6210
Cc1noc(O)n1,0.9260,0.40962,-1.81478897024,6.7853
NC(=N)C(O)=O,2.0490,0.34554,-1.59839422904,4.9570
CCCC(=C)CC,0.5987,0.41274,-3.24495199034,7.2388
CC(=C)C(N)CN,2.1909,0.39907,-2.83748613352,6.5539
CC(=O)ONC=O,4.5414,0.39853,-1.90500505485,5.6683
CC1CN1C(N)=N,2.8288,0.4098,-2.42854683769,6.7231
CNCC(C)OC,0.9902,0.41172,-2.93451281313,6.7325
CN(C)NC(C)=N,4.0106,0.40579,-2.62269994211,6.4818
ON=CCCC#N,3.8930,0.40101,-2.07397449546,6.0669
OC(=O)CCC#N,4.6845,0.43821,-2.05308910665,6.0439
FC=CC1CN1,1.1097,0.40331,-1.86681397906,6.7136
OC1CCC(F)C1,1.7590,0.45659,-2.50421061029,7.5423
FC1(F)CNN=C1,2.2386,0.36426,-1.71767913744,5.7066
CC(=C)OCC=C,0.4638,0.38143,-2.6943550867,6.6412
CC(O)C(C)(C)F,1.7122,0.45611,-2.71725616071,7.7184
CNCCC(C)=C,0.7072,0.39454,-3.03022187293,6.5525
FC=CCCC=C,1.5744,0.409,-2.55264995309,7.1282
NC=C(C=O)C#N,8.9958,0.3141,-1.90911843504,4.0682
OCC(F)C#N,2.2022,0.44994,-1.59988593884,7.1198
Nc1n[nH]c(=N)[nH]1,2.8658,0.3552,-1.84926626545,5.9493
CCC=C(C)C=O,3.7690,0.35168,-2.7300673407,4.0202
CCN1CCC1C,0.7622,0.40967,-3.02945952793,6.8600
C#CC1CNC1,0.9522,0.42058,-2.07385094447,6.5467
CC=CC=CF,1.7572,0.34947,-2.09414457747,5.9616
CC(=C)CCC#C,0.7492,0.41282,-2.7608961035,6.7187
O=C1COC=NO1,4.0684,0.38574,-1.66811411243,5.4959
C1CN=CNN1,2.9016,0.36971,-1.93810446307,5.6938
CC(O)C(=C)C#C,1.4765,0.3689,-2.45009719028,5.7137
C=CCC=CC#C,0.8068,0.35723,-2.52806722708,5.6332
Cc1nc(N)c[nH]1,3.0189,0.35751,-2.26534381427,5.7758
ONC(=O)CC=O,4.3539,0.37809,-1.88569055785,4.3230
FCCC=C,1.7062,0.42499,-1.84646438827,7.4980
C=CC1CNC1,1.1484,0.38799,-2.32480192589,6.6175
CC=COC=O,2.0525,0.37397,-1.95811000586,5.8562
COCOCCF,1.8499,0.48262,-2.36914300149,8.4794
C1Cn2cncc12,4.4053,0.39703,-2.19131709826,6.5720
CC(=C)CCCF,1.7921,0.41461,-2.78924026451,7.2435
ONC(=O)C#C,3.4390,0.36612,-1.44938256003,4.8939
CNC(C)C=NN,1.1372,0.36977,-2.61150914711,6.0186
O=C1CCOC=C1,3.2304,0.34713,-2.21782900606,4.0500
CCN1CC1C#C,1.5321,0.42572,-2.53371308009,6.3686
CNCC(=O)C#N,3.8334,0.3041,-2.10278821546,4.2016
O=c1nc[nH][nH]1,6.4630,0.35293,-1.46561586843,5.3358
NN=CCC=C,1.8456,0.36297,-2.12170392148,5.9119
CC(=NN=C)C#N,4.7690,0.33416,-1.96709701485,4.4918
NN=CN1CC1,0.9074,0.35796,-1.90271290107,5.7877
C1CN1CC2CO2,2.0502,0.44184,-2.45623614429,7.5792
CC(C=NN)=NN,3.5596,0.29882,-2.18236031828,4.5343
N=CN1CC1C#C,2.4284,0.39708,-2.11727696026,6.0191
CC(C)CCCF,1.8852,0.50126,-3.01943753693,9.3699
CC=CCC(C)=O,3.1784,0.36541,-2.7310213417,4.3953
Nc1c[nH]cn1,3.1601,0.35988,-1.78916142565,5.7944
N=C1CNN=CN1,1.5048,0.34537,-2.02068870686,5.1953
CN=C(CN)NO,4.3037,0.37345,-2.28983190089,6.2036
CCOCCCO,3.1771,0.44675,-2.83786239232,7.8437
CC=C(F)F,1.5963,0.42859,-1.40236807744,7.6799
NC(CC=O)=NO,1.4321,0.33293,-1.98756839466,4.2676
FCC(F)C=C,0.2254,0.42673,-1.85785567906,7.5491
CCONC(N)=N,3.0331,0.42526,-2.30637357489,7.0348
FC(=CC=C)C#C,1.4450,0.31729,-2.07766518225,5.0392
C1C2C=NN=CC12,4.9425,0.33976,-2.15383642226,3.9987
C1OC2C=COC12,1.1284,0.3866,-2.16611455006,6.1519
FCC1CNC1,2.0338,0.41924,-2.10091178948,6.6108
O=CC(C#N)C#N,1.6017,0.3737,-1.67261727962,4.3429
CN(C)CC(C)=O,3.0249,0.35814,-2.73814913271,4.4172
C#CC1OC1C#C,1.7228,0.41207,-1.94064927044,6.2041
O=Nc1c[nH]cn1,7.0524,0.27709,-1.65859142463,1.6457
CN(C)NC(N)=N,3.5597,0.40912,-2.4338432987,6.9200
CCN1CC(=O)C1,2.9610,0.35637,-2.50768215829,4.4335
CCC1C(C)N1C,1.0336,0.42913,-3.02373266293,7.3658
Cc1noc(N)n1,2.7336,0.38898,-1.93306271705,6.7389
Cc1conc1N,3.6633,0.37818,-2.10452078646,6.2929
CNC(=O)CO,3.2444,0.40335,-1.99536403287,5.8787
CC1CN1C=NN,1.1941,0.3633,-2.37352756669,5.6186
CC1CC1NC=N,4.0212,0.40409,-2.6207360311,6.4612
FC=CCC=CF,1.7009,0.39859,-2.09770095626,6.9391
NNC(=O)C(N)=O,1.4678,0.33276,-1.86652886625,4.4284
NCCCCC=C,1.1819,0.40178,-3.03499215693,6.6926
CC=CN(C)C=N,3.3433,0.35159,-2.6235331081,5.6112
CC(=N)NCC=C,2.7850,0.38693,-2.6316115321,6.3848
Cc1c[nH]c(=N)[nH]1,3.5983,0.34615,-2.25240408927,5.4390
CC(=O)NCC=O,1.3962,0.37563,-2.25795023407,4.5720
OC(CF)C#C,1.6961,0.43161,-1.74158663925,6.3988
CC(=C)OCCO,1.4515,0.41207,-2.6162853019,7.1517
CC(CO)OC=O,2.1226,0.42079,-2.34735795068,5.9168
COC(C)C=CC,1.5133,0.41694,-2.91945738112,6.8831
CNC(=O)C(O)=O,2.3110,0.34356,-1.97453236985,4.3761
CNc1cc[nH]n1,1.6002,0.36224,-2.23234025327,5.9427
CC(C)C=NO,0.7497,0.40517,-2.23272372709,6.1915
CCC(O)C(C)=O,3.0965,0.38833,-2.6535329209,4.7268
N=CNOC1CC1,2.2142,0.38979,-2.24341840188,6.1858
C#Cc1ncno1,1.6622,0.36285,-1.61712196362,5.5122
CCONC(C)=N,3.1218,0.4157,-2.4948984963,6.4482
Cc1noc(=O)o1,4.5602,0.41818,-1.71228602643,7.2228
CN(CCO)N=C,1.9146,0.34017,-2.4901469963,5.5115
NCCC1CC1,1.2181,0.42734,-2.56040004631,6.7055
Cc1ccncn1,2.5694,0.36112,-2.24700252626,4.6188
Nc1nn[nH]n1,2.3581,0.3523,-1.35484728083,5.8815
OCC1=COCO1,1.6702,0.36235,-2.07977529826,5.8243
CC(C)C(O)CN,2.9890,0.43218,-2.96341059513,6.9941
CCC=COC=C,1.3475,0.37946,-2.6915808817,6.3241
NCC(O)CCO,5.0426,0.4264,-2.65129556591,7.0506
NC(=N)OCC=C,2.1736,0.4011,-2.32785550288,6.8901
CN=C(NO)C=C,2.1244,0.34513,-2.25119851488,4.7251
CC(N)(CN)CO,3.1578,0.41936,-2.76240829172,6.8406
CC#CC(=O)CO,3.9337,0.34926,-2.16111915206,3.9863
Nc1ccnn1O,2.9148,0.36459,-1.87335845005,6.0961
CC1=CCCC1F,1.8664,0.41214,-2.59273378109,7.0059
CCOC1CNC1,1.1224,0.421,-2.70427829671,6.6175
N=c1cnocn1,1.9594,0.34346,-1.65356088763,4.4118
C1C2NC1C=C2,1.3103,0.3706,-2.08719883047,5.3752
CC1C2C=CCN12,1.5508,0.37237,-2.58508931409,5.5398
CC1NC(C)C1=O,2.7078,0.36306,-2.52020779629,4.2654
CC(F)=C(C)F,3.0217,0.41043,-1.86924564106,6.9125
FCC1CCCC1,1.9121,0.50096,-2.81217435251,9.1780
NC(=N)ONC=O,5.9309,0.39814,-1.80323245125,5.4898
